,New_NO
1536,safe restaurants
1549,food
1554,food
1555,food
1556,quiet
1558,food
1559,food markets
1564,old restaurants
1571,restaurants restaurants
1572,quiet
1575,markets restaurants
1576,restaurants
1581,restaurants
1583,quiet
1584,far
1586,restaurants
1597,quiet
1598,safe safe
1606,restaurants
1612,quiet
1614,restaurants
1624,quiet
1635,restaurants
1638,quiet
1649,old
1650,transportation
1654,restaurants
1664,quiet
1669,quiet
1670,transportation
1674,quiet restaurants food
1681,safe quiet
1683,quiet restaurants
1687,restaurants
1690,transportation
1723,safe
1730,restaurants
1733,safe quiet
1736,quiet
1737,markets
1756,restaurants
1757,quiet safe
1759,safe food
1772,quiet
1775,restaurants
1776,quiet
1783,restaurants
1785,quiet
1789,quiet restaurants food
1794,quiet restaurants restaurants restaurants
1802,loud
1805,safe
1808,quiet
1811,safe traffic
1812,safe far
1815,restaurants quiet
1818,quiet
1821,quiet safe
1827,restaurants
1829,quiet transportation
1832,safe
1843,food
1846,safe quiet
1847,quiet food restaurants
1849,food food quiet safe
1855,quiet restaurants
1859,safe restaurants
1863,quiet restaurants
1871,restaurants
1873,food
1875,restaurants food
1886,transportation
1890,quiet food restaurants food
1891,quiet
1892,restaurants
1894,restaurants
1895,transportation
1896,quiet
1897,restaurants
1903,safe
1908,quiet food food
1909,safe
1910,quiet food
1911,food far
1912,safe
1914,quiet
1923,restaurants
1925,restaurants
1926,restaurants
1928,restaurants
1934,quiet quiet
1955,restaurants
1959,quiet
1964,quiet
1967,safe far quiet
1968,transportation
1969,quiet
1976,quiet transportation
1977,restaurants restaurants
1978,restaurants
1980,safe restaurants
1981,restaurants
1991,safe
1997,food
1999,far
2002,markets
2003,quiet
2007,safe
2010,quiet
2012,restaurants
2023,restaurants
2024,food
2026,restaurants
2027,restaurants
2028,safe
2033,quiet far loud
2036,quiet
2043,restaurants restaurants restaurants
2048,safe
2049,restaurants restaurants food
2051,safe
2061,quiet
2067,safe safe
2069,restaurants
2071,restaurants
2072,quiet
2077,quiet
2078,restaurants
2082,restaurants markets
2084,markets restaurants
2089,restaurants
2090,far restaurants
2094,restaurants
2095,food
2100,restaurants
2102,restaurants
2105,restaurants
2106,food
2108,traffic
2111,restaurants
2112,restaurants far
2113,restaurants
2114,restaurants
2116,quiet restaurants food
2117,far
2127,quiet
2128,quiet
2133,food
2140,restaurants
2146,quiet
2156,quiet safe
2158,safe safe
2164,old food
2169,far
2170,far
2172,quiet
2174,old
2176,far restaurants
2177,quiet
2179,safe
2181,restaurants
2187,quiet
2201,restaurants
2212,quiet
2216,quiet
2218,food food
2219,restaurants
2222,old
2228,quiet
2232,restaurants
2238,restaurants
2248,quiet
2249,quiet
2253,traffic
2255,restaurants
2256,restaurants
2257,restaurants
2258,restaurants
2259,safe
2266,safe quiet
2279,restaurants
2280,restaurants
2286,restaurants
2287,safe
2294,restaurants
2296,quiet
2297,restaurants
2300,food
2302,safe safe
2309,quiet restaurants
2316,quiet
2320,quiet restaurants
2322,traffic
2330,quiet
2331,restaurants
2333,quiet
2334,quiet
2336,restaurants
2340,restaurants
2342,restaurants
2344,restaurants food
2347,far restaurants food
2348,quiet
2351,restaurants
2354,restaurants
2356,food
2360,quiet quiet
2366,restaurants food
2367,markets
2373,restaurants
2374,markets
2377,restaurants
2380,far
2381,food
2393,restaurants restaurants
2395,quiet safe restaurants
2396,restaurants
2397,safe
2399,restaurants
2400,safe
2403,quiet far food restaurants
2404,old
2406,restaurants restaurants
2412,restaurants
2415,restaurants
2425,restaurants
2429,quiet
2439,old
2441,quiet
2449,safe safe
2450,quiet far restaurants safe
2453,restaurants
2454,restaurants
2456,safe
2457,food
2462,restaurants
2466,restaurants
2469,food
2475,safe
2481,quiet restaurants
2488,quiet
2503,old markets food
2506,quiet
2507,quiet
2520,markets
2523,restaurants
2529,food far food food
2530,restaurants
2533,restaurants
2535,quiet
2546,restaurants
2550,quiet
2551,restaurants
2557,food food
2558,restaurants
2563,restaurants
2566,far
2568,restaurants
2570,restaurants
2571,restaurants
2575,restaurants
2578,old
2579,restaurants
2581,loud
2583,old
2588,restaurants
2589,restaurants
2595,restaurants
2599,restaurants
2610,restaurants
2611,quiet
2619,restaurants
2620,restaurants
2624,restaurants
2629,safe safe
2631,restaurants
2634,quiet transportation
2635,restaurants
2638,quiet traffic
2639,quiet
2641,quiet
2643,old
2646,restaurants
2647,restaurants quiet safe
2648,restaurants
2649,far
2652,restaurants
2655,restaurants
2659,markets
2663,safe restaurants
2665,restaurants
2666,food
2668,quiet
2669,restaurants safe
2670,quiet
2672,restaurants
2673,restaurants
2678,restaurants
2683,food
2692,quiet
2695,safe
2700,restaurants
2707,restaurants
2708,traffic
2710,quiet
2711,restaurants
2717,restaurants
2718,safe
2726,quiet restaurants
2727,restaurants quiet
2732,quiet
2741,quiet
2744,old restaurants quiet
2748,food
2749,restaurants
2763,restaurants
2780,old quiet
2785,restaurants food
2787,restaurants
2802,safe
2815,restaurants
2851,far
2852,restaurants
2857,quiet
2872,restaurants
2889,quiet
2905,food
2915,restaurants
2935,restaurants
2939,old old old
2941,far restaurants
2944,far
2951,markets
2957,quiet
2960,restaurants restaurants food
2974,restaurants
2985,quiet loud
2996,restaurants
2998,old
3001,safe
3002,safe
3003,food
3010,restaurants
3020,restaurants quiet
3022,quiet
3028,restaurants safe
3032,restaurants
3033,old old restaurants
3037,quiet quiet old
3044,restaurants old old old old
3046,quiet markets
3050,restaurants restaurants
3058,old quiet
3078,quiet
3080,quiet
3088,quiet
3089,restaurants
3090,restaurants
3093,quiet restaurants safe
3096,safe
3097,old
3102,markets
